Nomre,Puntuacion,Clasificacion Edad,Desarrollador,Distribuidor,Géneros,Plataforma,Precio,Consola virtual,Lanzamiento en Europa:,Formato,Voces (idioma),Textos (idioma),Num Jugadores,Modo Online,Num genero,Num idioma
Bravely Default: For The Sequel,9.5,Pegi 12,Matrix Software,Nintendo,Rol (RPG),Nintendo 3DS,"24,99€",No disponible,13/06/2019,Digital,Inglés,Español,2+,No,1.0,1.0
Brain Training del Dr. Kawashima para Nintendo Switch,--,Pegi 3,Nintendo,Bandai Namco,Educativo-Minijuegos-Otros-Puzle,SWITCH,"39,99€",No disponible,08/02/2019,Físico,Español,Español,6+,No,1.0,1.0
BQM -BlockQuest Maker-,7.8,Pegi 3,2K,Bandai Namco Entertainment,Acción-Rol (RPG)-Shooter en 1ª persona (FPS)-Shooter en 3ª persona (TPS),Precio de lanzamiento:,"59,99€",No disponible,28/10/2005,Físico,"Inglés, Japonés",Inglés-Francés,1,No,1.0,2.0
Borderlands: Game of the Year Edition,9.5,Pegi 18,Starbreeze Studios,BANDAI NAMCO Entertainment,Aventura-Puzle,GameCube,"39,99 €€",No disponible,19/10/2018,Físico y Digital,Japonés,Alemán-Inglés,1,No,1.0,2.0
Brothers: A Tale of Two Sons,8.5,Pegi 16,Brace Yourself Games,Meridiem Games,Musical,Wii U,"49,99 €€",No disponible,29/10/2019,Físico y Digital,Japonés,Inglés,1,No,1.0,1.0
Cadence of Hyrule,9,Pegi 3,PrimeBit Games,Nintendo,Aventura-Plataformas,SWITCH,"59,99 €€",No disponible,18/10/2019,Físico y Digital,Español,Español,4+,Si,1.0,1.0
Caveman Chuck,--,Pegi 7,Baron: Fur Is Gonna Fly,Bandai Namco,Acción-Fiesta,SWITCH,"19,99€",No disponible,10/01/2019,Digital,Español,Español,6+,No,1.0,1.0
Baron: Fur Is Gonna Fly,--,Pegi 3,Arc System Works,SQUARE ENIX,Acción-Arcade-Lucha,SWITCH,"1,00€",No disponible,18/01/2019,Digital,"Japonés, Inglés",Español,2+,No,1.0,1.0
Baldur’s Gate and Baldur’s Gate II: Enhanced Editions,5.5,Pegi 16,Konami,eShop,Otros,Consola virtual:,"19,99€",No disponible,21/02/2019,Digital,No,Español,1,No,1.0,1.0
BlazBlue Centralfiction Special Edition,8.5,Pegi 12,D3 Publisher,Koei Tecmo,Aventura-Simulación,SWITCH,"29,99€",No disponible,30/11/2018,Físico,Inglés,Inglés,1,No,1.0,1.0
Dancing Stage Mario Mix,8,Pegi 3,Nintendo,Koei Tecmo,Acción-Otros,Precio de lanzamiento:,"29,99€",No disponible,21/08/2020,Físico y Digital,Inglés,Inglés,1,No,1.0,1.0
Dangerous Relationship,--,Pegi 12,Assemble Entertainment,Koch Media España,Acción-Arcade-Rol (RPG)-Shooter en 1ª persona (FPS),Wii U,"41,95€",No disponible,14/06/2013,Físico y Digital,Japonés,Inglés,1,No,1.0,1.0
Dandy Dungeon – Legend of Brave Yamada –,--,Pegi 3,Headup GmbH,Koei Tecmo,Acción-Arcade,Nintendo 3DS,"54,99€",No disponible,30/11/2018,Físico y Digital,Inglés,Inglés,1,No,1.0,1.0
Cytus α,--,Pegi 12,Vigil Games,Enjoy Up Games,Acción-Aventura,Consola virtual:,"19,99€",No disponible,27/09/2018,Digital,Inglés,Inglés,1,No,1.0,1.0
Dedede’s Drum Dash Deluxe,--,Pegi 3,Motion Twin,Koch Media,Acción-Plataformas,SWITCH,"39,99€",No disponible,01/02/2019,Físico y Digital,Japonés,Inglés-Francés,1,No,1.0,2.0
Debris Infinity,7.5,Pegi 3,Vigil Games,UbiSoft,Acción-Aventura,SWITCH,"59,99 €€",No disponible,29/09/2018,Físico y Digital,Español,Español,4+,No,1.0,1.0
Deadly Days,--,Pegi 16,Vigil Games,Ubisoft,Acción,Wii U,"39,99 €€",No disponible,20/03/2019,Físico,Español,Español,6+,Si,1.0,1.0
Dead End Job,--,Pegi 7,FromSoftware,Meridiem Games,Acción,Precio de lanzamiento:,"29,99€",No disponible,06/11/2015,Físico y Digital,Japonés,Inglés,1,No,1.0,1.0
Darksiders: Warmastered Edition,8,Pegi 16,Nippon Ichi Software,Nintendo,Estrategia,SWITCH,"29,99€",No disponible,21/02/2019,Físico y Digital,Inglés,Español,1,Si,1.0,1.0
Dead Cells,9.5,Pegi 16,Cypronia,Electronic Arts Inc.,Acción-Aventura-Otros-Rol (RPG),Nintendo 3DS,"4,70€€",No disponible,17/11/2016,Digital,Español,Español,4+,Si,1.0,1.0
Darksiders: Warmastered Edition,6.8,Pegi 18,BANDAI NAMCO Entertainment,,Rol (RPG),Nintendo 3DS,"39,99€",No disponible,30/05/2018,Físico y Digital,,,,,,
Darksiders II,8,Pegi 18,Blizzard Entertainment,,Acción-Aventura-Rol (RPG),Nintendo 3DS,"39,99€",No disponible,04/12/2018,Digital,,,,,,
Dark Souls : Remastered,8,Pegi 16,Hanaji Games,,Arcade,Wii U,"39,99 €€",No disponible,14/01/2020,Digital,,,,,,
Dark Devotion,--,Pegi 16,Bandana Kid,,Aventura-Plataformas-Puzle,SWITCH,"39,99 €€",No disponible,14/01/2020,Digital,,,,,,
Cuphead,9,Pegi 7,MarkAnime,,Arcade,Nintendo 3DS,"59,99 €€",No disponible,01/11/2019,Físico y Digital,,,,,,
Disgaea 4 Complete+,9,Pegi 12,Level-5,,Puzle,Wii U,"39,99€",No disponible,04/12/2018,Digital,,,,,,
Cube Life: Island Survival,3,Pegi 7,LEVEL-5,,Aventura-Puzle,Precio de lanzamiento:,"39,99€",No disponible,04/12/2018,Digital,,,,,,
Digimon Story Cyber Sleuth: Complete Edition,9,Pegi 12,LEVEL-5,,Acción-Puzle,Consola virtual:,"39,99 €€",No disponible,14/01/2020,Digital,,,,,,
Diablo III: Eternal Collection,9.8,Pegi 16,SnowCastle Games,,Acción-Aventura-Rol (RPG),SWITCH,"89,99€",No disponible,04/12/2018,Digital,,,,,,
Dezatopia,--,Pegi 7,Koei Tecmo,,Acción-Lucha,Consola virtual:,2€,Virtual Console 3DS,12/07/2012,Digital,,,,,,
Elli,5,Pegi 7,ACTIVE GAMING MEDIA,,Acción,Precio de lanzamiento:,3€,No disponible,07/06/2012,Digital,,,,,,
El Silla – Arcade Edition,1,Pegi 7,Cooking Mama Limited,,Otros-Simulación,SWITCH,"69,99€",No disponible,30/07/2020,Físico y Digital,,,,,,
El Profesor Layton y la Máscara de los Prodigios,8.5,Pegi 7,Valhalla Game Studios,,Acción-Shooter en 3ª persona (TPS),GameCube,"34,99€",No disponible,17/01/2019,Digital,,,,,,
El Misterioso Viaje de Layton: Katrielle y la conspiración de los millonarios – Edición Deluxe,8,Pegi 7,CAPCOM,,Acción-Aventura,Nintendo 3DS,"49,99€",No disponible,21/12/2018,Físico y Digital,,,,,,
